Name,event-date,event-start-date,event-end-date,event-link,event-image,event-logo
HibernationHacks,Jan 7th - 9th        ,2022-01-07,2022-01-09,https://organize.mlh.io/participants/events/7795-hibernationhacks,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/217/thumb/Hibernation-Hacks_mlh-event-hero.png?1639166371,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/217/thumb/Hibernation-Hacks_mlh-event-title.png?1639166371
Local Hack Day: Build,Jan 9th - 16th        ,2022-01-09,2022-01-16,https://hackp.ac/build2022,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/209/953/thumb/generic_square_%282%29.png?1636561479,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/209/953/thumb/repeat-3.jpg?1636561478
CruzHacks,Jan 14th - 16th        ,2022-01-14,2022-01-16,https://www.cruzhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/218/thumb/_1639266353852_cruzhacks_background.png?1639385551,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/218/thumb/_1639266353910_CruzHacks_2022_logo.png?1639385551
DeltaHacks,Jan 14th - 16th        ,2022-01-14,2022-01-16,https://www.deltahacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/219/thumb/_1639387851061_300px.jpg?1639387989,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/219/thumb/_1639387851136_100px.jpg?1639387988
Hackville 2022,Jan 14th - 16th        ,2022-01-14,2022-01-16,https://hackville.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/210/thumb/_1638575542758_hackville-bg.png?1638904233,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/210/thumb/_1638751068598_MLH_Icon.png?1638904232
Hack@WPI,Jan 14th - 16th        ,2022-01-14,2022-01-16,https://hack.wpi.edu/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/222/thumb/_1638820096644_Event_Logo_Background_300_px_by_300_px.png?1639641882,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/222/thumb/_1638820096728_Event_Logo_100_px_by_100_px.png?1639641882
nwHacks 2022,Jan 15th - 16th        ,2022-01-15,2022-01-16,https://www.nwhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/221/thumb/_1638305749108_nwHacks_2022_Announcement_-_Square.png?1639588963,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/221/thumb/_1638305749196_Union.png?1639588963
QWER Hacks,Jan 21st - 23rd        ,2022-01-21,2022-01-23,https://www.qwerhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/223/thumb/_1638494660644_event_background.png?1639689787,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/223/thumb/_1638494660771_qh_logo__1_%281%29.png?1639689785
StarHacks,Jan 22nd - 23rd        ,2022-01-22,2022-01-23,https://www.starhacks.tech/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/213/thumb/starhacksbg.png?1639385907,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/213/thumb/_1638736867137_starhacks.png?1638968264
Hoya Hacks,Jan 28th - 30th        ,2022-01-28,2022-01-30,https://hoyahacks.georgetown.domains/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/211/thumb/_1637332302447_background.png?1638905196,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/211/thumb/_1637332302527_dog.png?1638905196
QHacks,Jan 28th - 30th        ,2022-01-28,2022-01-30,https://qhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/220/thumb/_1639182211122_Event_Background_-_QHacks_%281%29.png?1639555784,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/220/thumb/_1639182211160_Event_Logo_-_QHacks_%281%29.png?1639555784
ConUHacks VI,Jan 29th - 30th        ,2022-01-29,2022-01-30,https://conuhacks.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/224/thumb/_1639631163002_CONU_6_MLH_Background.png?1639770270,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/224/thumb/_1639631163085_CONU_6_Square_Logo.png?1639770269
CUhackit 2022,Jan 29th - 31st        ,2022-01-29,2022-01-31,https://cuhack.it/#/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/309/thumb/_1639777449423_CUhackit-event-background-300x300_v2.png?1640685293,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/309/thumb/_1639777449493_CUhackit-logo-square-100x100.png?1640685293
MakeHarvard,Jan 29th - 30th        ,2022-01-29,2022-01-30,https://www.makeharvard.io/,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/210/209/thumb/backmakeharvard.png?1638396543,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/210/209/thumb/_1638385398464_MHLogo_100x100.png?1638396543
